judge,prompt_id,u_n1,u_n2,u_n4,u_n8,u_n16,u_n32,u_n64,u_n128,u_n256,u_n512
Phi-3.5-mini-instruct,fact_00077_Sandra Pisani,0.0,0.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00078_Chi Pu,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00079_Paul Anka,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,"fact_00080_Felipe (footballer, born 1977)",1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00081_Neil Sinclair,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00082_Peter Gallagher,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00083_Joseph Kony,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,fact_00084_Alfred Hitchcock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00085_Dascha Polanco,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00086_Amelia Earhart,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00087_Chris John (boxer),0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00088_Blair Tugman,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00089_Tom Coburn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00090_Mamunul Islam,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,fact_00091_Umika Kawashima,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00092_Grayston Burgess,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00093_David Oyite-Ojok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00094_Thomas Piketty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00095_Richard Kuklinski,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,fact_00096_Ki Fitzgerald,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00097_Chris Cuomo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00098_Adnan Sami,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00099_Krystyna Szczepańska,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00100_Rangi Te Kanawa,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00101_Mohamed Abdi Mohamed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00102_Griselda Blanco,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00103_Jimmy Weldon,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00104_Steve Cummins,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00105_Pallavi Joshi,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00106_Sofiane Feghouli,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00107_Theophilus Annorbaah,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00108_Bhuma Nagi Reddy,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00109_Charmion King,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00110_Andreea Marin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00111_Raffaele Maiello,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00112_John Craven,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00113_Fumiko Kaneko,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00114_Ahn Jae-hyun,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00115_Rory Tapner,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00116_Bobo Baldé,0.5,0.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00117_Rafael Nadal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00118_Chacho Gaytán,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00119_Bastian Schweinsteiger,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00120_Erich Hartmann,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00121_Maya Yoshida,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00122_Flávio Rocha,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00123_John Forbes Nash Jr.,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0
Phi-3.5-mini-instruct,fact_00124_Zewde Gebre-Sellassie,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00125_Lupe Vélez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00126_Kevin De Bruyne,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00127_Ezechiel N'Douassel,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00128_Noel Malicdem,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00129_Rebecca Romijn,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00130_Robert Guthrie,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00131_Aditya Kalyanpur,0.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00132_Dennis Andersson,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00133_Daniel Bedingfield,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00134_Celâl Bayar,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,fact_00135_Michael Coulson (barrister),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00136_Khalid Mahmood Mithu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00137_Rachel Weisz,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00138_Diana Ivanova,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,fact_00139_Jashubhai Dhanabhai Barad,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,fact_00140_André Le Nôtre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00141_Kerwin Bell,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00142_Cierre Wood,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00143_Stephen Miller (political advisor),1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00144_Jacques Cousteau,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00145_Carmelo Anthony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00146_Asafa Powell,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,fact_00147_Huang Xing,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00148_Rohit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00149_Jorge Enríquez,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00150_Levi Roots,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00151_Jean-Claude Van Damme,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00152_Felix Newman,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00153_Santiago Vergini,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00154_Earl Garrison,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00155_Tacko Fall,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00156_Karl Eliasberg,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00157_Timothy Evans,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00158_Jeffrey Viggiano,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00159_Yordanka Donkova,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,fact_00160_Tony Bellew,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00161_Winston Churchill,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00162_Aleksandar Kolarov,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00163_Alexandre Hohagen,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00164_Jamie Cripps,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00165_Marcus Aurelius,0.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00166_Emcee N.I.C.E.,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00167_Sun Wenguang,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00168_Jeff Beukeboom,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00169_Phil Vickery (rugby union),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00170_Shoya Nakajima,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00171_Karyn Pugliese,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00172_Ingo Titze,0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0
Phi-3.5-mini-instruct,fact_00173_León Dujovne,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,fact_00174_Jennifer Sevilla,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00175_Will Keane,0.5,0.5,0.5,0.0,0.5,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00176_Settimo Mineo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00177_Yuu Watase,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00178_Pablo Ganet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00179_Sayaka Ando,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00180_Édgar Iván López,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00181_Chris Woakes,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00182_Diosdado Cabello,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00183_Muhammad Ali Jinnah,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00184_Dana Awartani,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,fact_00185_Brianna Keilar,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00186_Vanda Pignato,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00187_Vadhir Derbez,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00188_Cédric Bakambu,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00189_Neil Googe,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00190_Sada Thompson,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00191_Thirayuth Boonmee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00192_Michael L. MacDonald,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00193_Bobby Fischer,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,fact_00194_Jose Canseco,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00195_Jeffrey Satinover,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00196_Yehuda Lindell,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00197_Kathleen A. McGrath,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00198_Benjamin Lawrence Reid,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00199_Djimon Hounsou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00200_Vance Joy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00201_Jimmy Tompkins (priest),0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00202_Ahsee Tuala,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00203_Susan Sarandon,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00204_Don DeLillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00205_Ramli Sarip,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00206_Michael Collins (astronaut),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00207_Elizabeth Inglis,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00208_Fifi Cooper,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00209_Lali Espósito,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00210_Maddy Crippen,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00211_Francis Nicholson (painter),0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00212_Will Voigt,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00213_Josiah Maduabuchi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00214_Thomas Jack,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00215_Ziaur Rahman,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00216_Loo Kum Zee,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00217_Patoranking,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00218_Richard Burton,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,fact_00219_Guillermo Rigondeaux,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00220_Shaolin (humorist),1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00221_Jessie Mae Brown Beavers,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0
Phi-3.5-mini-instruct,fact_00222_Lennie Hayton,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,fact_00223_Ahmed Mumin Warfa,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00224_Rachel Bilson,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00225_Xi Jinping,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00226_Dewi Sartika,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00227_Alf Garland,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00228_Raúl Esparza,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,fact_00229_Robin del Castillo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00230_Abdul Ilah Khatib,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00231_Jennifer Maia,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00232_Philippe Coutinho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00233_Kevin Anderson (tennis),1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00234_Pogo (musician),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00235_Valerie Harper,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.5
Phi-3.5-mini-instruct,fact_00236_Fuerza Guerrera,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00237_Mukesh (actor),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00238_Serena Tideman,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00239_Bif Naked,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0
Phi-3.5-mini-instruct,fact_00240_Phife Dawg,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00241_Michael Folorunsho,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00242_Naz Mitrou-Long,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00243_Julie Bishop,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00244_Tarik Marzouk,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00245_Dominique Blake,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00246_Lina Marulanda,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00247_Diafra Sakho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00248_Haruto Takahashi,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00249_Fahadh Faasil,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00250_Dr. Dre,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00251_Quincy Jones,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00252_W. Clark Still,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00253_Patrick Merrill,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00254_Radja Nainggolan,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00255_Caitlin Lowe,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00256_Salt Bae,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00257_Camille Paulus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00258_Charley Boorman,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00259_Michael Douglas,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,fact_00260_Douglas Wood (engineer),0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00261_Zubaira Tukhugov,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,fact_00262_Riccardo Tisci,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00263_Billy Snedden,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,fact_00264_Esteban Espíndola,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5
Phi-3.5-mini-instruct,fact_00265_Franck Ribéry,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00266_Jamie Dornan,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,0.0
Phi-3.5-mini-instruct,fact_00267_Gretl Braun,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,fact_00268_Patricia Cladis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00269_Idris Elba,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,fact_00270_Daniel Ek,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,fact_00271_Ushoshi Sengupta,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,fact_00272_Joseph Michael Linsner,1.0,1.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,fact_00273_Julian Jarrold,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5
